ID,ZONEID,TIMESTAMP,U10,V10,U100,V100,TARGETVAR
32,1,20131202 8:00,1.3826195919,0.2633423131,3.1502474956,0.4060261126,0.2193402851
33,1,20131202 9:00,1.1203559847,2.1724979287,1.5418544032,4.2469800099,0.1020580756
34,1,20131202 10:00,-0.2717828856,4.0021851811,-0.7344483692,7.2230553819,0.0531904889
35,1,20131202 11:00,-0.7736802664,3.1610652171,-1.6073085274,6.1487470951,0.025185604
36,1,20131202 12:00,-1.242037001,2.2759025458,-2.9030741138,5.1915263407,0.0558218203
37,1,20131202 13:00,-1.3147757518,1.587974607,-3.7358804983,4.2180098988,0.0546941071
38,1,20131202 14:00,-1.3919596485,1.6813259975,-2.9093162603,3.0513593828,0.039939854
39,1,20131202 15:00,-1.5843132341,1.4759529385,-2.8276481764,2.2275218483,0.0295085052
40,1,20131202 16:00,-1.4832871913,1.515208395,-2.5868053556,1.7748638623,0.0208626987
41,1,20131202 17:00,-0.9179454556,1.6468577918,-2.0426982487,1.7646036146,0.0124019132
42,1,20131202 18:00,0.3485170174,1.4515379595,-0.7152017507,1.3928205221,0
43,1,20131202 19:00,0.3764002053,1.466857162,0.1072010562,0.9407660801,0
44,1,20131202 20:00,-0.3368436572,0.6338755243,0.1394521467,0.5774326033,0
45,1,20131202 21:00,-0.4613077419,0.0345117252,-0.3828074473,-0.0894834961,0
46,1,20131202 22:00,-0.060436404,-0.9722471162,-0.0915072754,-1.4341794865,0
47,1,20131202 23:00,1.5091041976,-0.9995344457,1.9397912453,-1.4540964379,0
48,1,20131203 0:00,2.5040086674,-1.4409189687,3.2875747195,-2.0244455003,0
49,1,20131203 1:00,1.5806864464,-2.5430477568,2.2185113639,-3.6263404215,0
50,1,20131203 2:00,2.323977945,-2.343609292,3.2109208246,-3.2811143841,0.0008193512
51,1,20131203 3:00,2.9918695256,-2.0291101745,4.0834606033,-2.8381707347,0.0307301951
52,1,20131203 4:00,3.6138073102,-2.0470084983,5.0106386557,-2.8748148392,0.0747110241
53,1,20131203 5:00,3.6026534761,-2.0976351855,4.9972578539,-3.0496779345,0.0514049434
54,1,20131203 6:00,3.622284224,-2.0546792085,5.2587410208,-3.0432491442,0.0745201316
55,1,20131203 7:00,2.237424193,-2.1237156001,3.2939933019,-3.2116834493,0.0606057938
56,1,20131203 8:00,1.009610145,-1.0549299813,1.8477516496,-2.1020742491,0.0823230869
57,1,20131203 9:00,0.648225923,-1.5223319218,1.3749633222,-3.0284629266,0
58,1,20131203 10:00,0.4559338246,-0.0787042653,1.1998978331,-1.7832062518,0.001668075
59,1,20131203 11:00,0.4452261439,1.4554377713,1.8823187207,1.0210320628,0.0076825501
60,1,20131203 12:00,-0.7308341143,1.5357245378,-1.3591804955,3.5649043717,0
61,1,20131203 13:00,1.5570403183,2.535473765,2.5976340792,5.3977524769,0
62,1,20131203 14:00,0.7222873808,1.919260047,0.8938119938,3.547546638,0
63,1,20131203 15:00,0.6714258977,-0.1211488617,1.2077033008,0.3222225608,0.0766815832
64,1,20131203 16:00,0.8503333953,-1.1469785035,2.5134465351,-1.3402626024,0.1657738901
65,1,20131203 17:00,1.3634097598,-1.6056869724,4.2841726291,-2.6967373488,0.2133258111
66,1,20131203 18:00,2.3480702264,-2.1508187761,5.2392273517,-3.9464941768,0.254957239
67,1,20131203 19:00,3.200223145,-1.5908569327,5.9166304386,-2.6703793087,0.465745687
68,1,20131203 20:00,3.1386539812,-0.9772001181,5.8586469645,-1.3531201829,0.5738182398
69,1,20131203 21:00,3.1966539181,-0.8508890904,5.5402953903,-1.2367590791,0.5306831915
70,1,20131203 22:00,4.4668525354,-0.0510897087,7.2084353378,0.230933739,0.4364251407
71,1,20131203 23:00,4.7247291778,0.3605717378,7.1337258616,0.7471655974,0.2712151062
72,1,20131204 0:00,5.872235621,0.2946036302,8.321272014,0.5009429302,0.2223475184
73,1,20131204 1:00,4.4043147448,1.4629608409,6.0604418445,1.9553217273,0.2582464027
74,1,20131204 2:00,4.6401341222,1.6982393676,6.4058273267,2.3098944765,0.4369889941
75,1,20131204 3:00,4.6397537684,2.1197168143,6.37972532,3.0203293303,0.2659524402
76,1,20131204 4:00,4.8356359932,2.6550387095,6.6137111662,3.7262514401,0.2924537089
77,1,20131204 5:00,5.1307905689,2.7238513539,7.1180392253,3.8577656962,0.184193211
78,1,20131204 6:00,4.5861238777,2.5680109534,6.4221410809,3.5824883072,0.3061742246
79,1,20131204 7:00,4.1285582147,2.5244970753,5.8241254619,3.536071511,0.1953763699
80,1,20131204 8:00,4.3967076681,2.976839017,6.4095561848,4.4921285783,0.1579738663
81,1,20131204 9:00,3.1198598453,2.1273064442,4.943182734,3.5057716579,0.180246217
82,1,20131204 10:00,3.3328579926,1.7053230221,5.8357781435,3.1698945627,0.1023400039
83,1,20131204 11:00,2.7125008884,0.8947505495,4.952038772,1.8960113765,0.3140682199
84,1,20131204 12:00,2.3378523613,0.6468226396,5.4773416579,2.0217235331,0.6082134943
85,1,20131204 13:00,2.7729771481,0.6685795787,5.8917110151,1.7567609877,0.7369608037
86,1,20131204 14:00,2.8935493137,0.5122332028,6.3494283478,1.5298344283,0.6562353003
87,1,20131204 15:00,3.1742504436,0.3265402581,6.5167608554,1.0862961529,0.7979512974
88,1,20131204 16:00,3.4876620033,0.1975165499,7.0700301771,0.8458313612,0.9001973255
89,1,20131204 17:00,3.8995852062,0.1858791174,7.6009263502,0.8516334607,0.9168311083
90,1,20131204 18:00,4.2213645503,-0.0286544209,7.915548753,0.3545869341,0.942486591
91,1,20131204 19:00,4.9539260358,0.2071300811,8.6617864818,0.7040022615,0.8451273228
92,1,20131204 20:00,6.1596476915,1.0915749514,9.805147599,1.4731027884,0.9168311104
93,1,20131204 21:00,6.0094079269,3.1589901344,9.4397195045,5.1380956596,0.8863828372
94,1,20131204 22:00,4.712020997,3.6098141501,7.110581509,5.6918738261,0.9389155032
95,1,20131204 23:00,4.9288226827,3.7666665012,7.1749043114,5.494602442,0.9329010187
96,1,20131205 0:00,3.9615828813,2.4410111465,5.8651429011,3.9054718479,0.9216238976
97,1,20131205 1:00,3.8675146443,2.4704991239,6.4418243457,4.748801,0.8744478628
98,1,20131205 2:00,5.5087336634,3.7382500171,8.1059342371,5.41228659,0.8873226031
99,1,20131205 3:00,3.6543235533,3.5168459988,5.1977915132,5.0912885009,0.8464429853
100,1,20131205 4:00,4.1820155513,4.0900482289,5.9191577737,5.8924406355,0.7107414528
101,1,20131205 5:00,4.9717916386,5.2657248549,7.0724798789,7.5511546106,0.6328352417
102,1,20131205 6:00,4.7555172053,5.7548361357,6.8052072,8.3818546863,0.3094633904
103,1,20131205 7:00,4.6709455329,5.639876357,6.6286452485,8.306641745,0.5175265376
104,1,20131205 8:00,3.6089543748,4.7558569474,5.2615050003,7.1032346829,0.481345724
105,1,20131205 9:00,3.1191434384,4.0889837865,4.895422422,6.598233505,0.4292829472
106,1,20131205 10:00,2.1589025738,2.4108903497,4.0628275314,4.8246854855,0.1744196913
107,1,20131205 11:00,2.1404025204,1.7615804884,4.1184418464,3.6340377617,0.255333143
108,1,20131205 12:00,2.3584388635,1.7269861105,4.1924142848,3.2324543782,0.1999811983
109,1,20131205 13:00,2.0796166308,1.209134885,3.8657476773,2.4420469496,0.2359740552
110,1,20131205 14:00,1.5876033071,0.5853716412,3.7172628557,1.7611012125,0.2541114499
111,1,20131205 15:00,1.4470909971,0.267635586,3.8128330864,1.3091520201,0.2961187767
112,1,20131205 16:00,1.5523651102,0.0558115493,3.8290314305,0.8968239307,0.1965980589
113,1,20131205 17:00,1.6025795407,-0.0756470866,4.0633674762,0.6879737096,0.126679822
114,1,20131205 18:00,1.8320682978,-0.2230723584,4.1875547816,0.5395624592,0.0345832165
115,1,20131205 19:00,1.7065322215,-0.421058644,4.1848550575,0.1776001788,0.0185132977
116,1,20131205 20:00,1.6378177376,-0.5381473075,4.0660672003,-0.0433378365,0.003177568
117,1,20131205 21:00,2.0404141368,-0.2049768376,3.046651407,0.027174296,0.02602845
118,1,20131205 22:00,3.3847513472,2.3427660364,4.6502874801,3.1995487164,0.0332675487
119,1,20131205 23:00,3.5089659912,2.629633262,4.8268494316,3.6837320265,0.0493374665
120,1,20131206 0:00,3.2433580823,2.5806689118,4.447808178,3.596431291,0.0864580386
121,1,20131206 1:00,2.7562606359,1.6377682854,3.7382318559,2.2166201388,0.1068508618
122,1,20131206 2:00,2.6887051569,2.0442218134,3.6343890313,2.766994132,0.095479745
123,1,20131206 3:00,2.8053477105,2.1488270835,3.8029004413,2.9225346083,0.0598627942
124,1,20131206 4:00,2.6921072314,2.0145245546,3.6754287105,2.7191355239,0.0561037486
125,1,20131206 5:00,2.7970855296,1.9161246819,3.7836242284,2.5846756249,0.0669110025
126,1,20131206 6:00,2.826246168,1.8633788042,3.8712999067,2.5886638423,0.0717037866
127,1,20131206 7:00,2.7120336676,1.6630331176,3.7208210829,2.3385456404,0.0800676606
128,1,20131206 8:00,2.4418117519,1.6887411924,3.4453577817,2.4627501233,0.0499013252
129,1,20131206 9:00,1.564562547,1.466676615,2.7340033423,2.6917877478,0.0646555762
130,1,20131206 10:00,0.4302137136,1.3620713449,1.1067178809,2.8809431989,0.0408796157
131,1,20131206 11:00,-0.1039119795,1.4755414684,-0.0069497772,3.0467390912,0.0009250775
132,1,20131206 12:00,-0.6934428857,1.8163950813,-0.8066017082,2.5994890036,0
133,1,20131206 13:00,-0.9471404396,1.0930230445,-1.2107803669,1.6497235309,0
134,1,20131206 14:00,-1.1546669829,0.156008041,-1.4632365753,0.6276004007,0
135,1,20131206 15:00,-1.0837094294,-0.5704666944,-1.4862436682,-0.3005147493,0
136,1,20131206 16:00,-0.9369342162,-1.0704444257,-1.2269475133,-1.1049951617,0
137,1,20131206 17:00,-0.6501879387,-1.4556223056,-0.3371326508,-1.7790038925,0
138,1,20131206 18:00,-1.1318244828,-1.9564865222,0.0253845155,-2.4911855607,0
139,1,20131206 19:00,-1.1877157064,-2.1976105345,0.1615616328,-2.9845850204,0
140,1,20131206 20:00,-0.5908946407,-1.3465846089,0.3132840831,-3.2774341224,0
141,1,20131206 21:00,0.1473555212,-1.5176762793,0.7106227953,-3.2569232903,0
142,1,20131206 22:00,1.740012388,-2.4914804244,2.3167666038,-3.4779844802,0
143,1,20131206 23:00,1.9242104205,-2.2729617883,2.5928517184,-3.080871982,0
144,1,20131207 0:00,2.2299111129,-2.0030270025,2.9702924043,-2.7048400612,0
145,1,20131207 1:00,2.6051299316,-1.5502246326,3.4458857661,-2.1193692072,0.0111743485
146,1,20131207 2:00,2.8254835415,-1.4006089137,3.7367146715,-1.9356526664,0.0407856389
147,1,20131207 3:00,2.9221942926,-1.2123980571,3.8693734704,-1.7006512963,0.0063756939
148,1,20131207 4:00,2.5716688278,-1.093753745,3.4004756387,-1.5351116572,0.0013861488
149,1,20131207 5:00,2.2101256826,-1.3605843265,2.9101483088,-1.8889120624,0.049525419
150,1,20131207 6:00,2.1338180436,-1.6993638683,2.8657586337,-2.3329478004,0
151,1,20131207 7:00,1.8196101183,-1.9385584253,2.5336014102,-2.6860990307,0
152,1,20131207 8:00,0.4905514006,-1.722235061,1.1172136183,-2.8347601184,0
153,1,20131207 9:00,-0.8372831305,-1.2900648157,-0.9507329669,-3.5819606073,0
154,1,20131207 10:00,-1.5285405662,-1.900916254,-2.1283349207,-4.9036810205,0
155,1,20131207 11:00,-1.4542732384,-1.9590472021,-2.5349851621,-5.7924016715,0
156,1,20131207 12:00,-1.3081869562,-2.1548817896,-2.4181433738,-6.662945421,0
157,1,20131207 13:00,-1.2869677197,-2.5403566832,-2.7278506468,-7.6977304596,0.0445388129
158,1,20131207 14:00,-0.9662307985,-3.4804579997,-1.7803606865,-9.3219664486,0.2410487655
159,1,20131207 15:00,-0.3590341845,-4.2528372365,-0.3808103576,-10.0587801367,0.3759045142
160,1,20131207 16:00,-0.0244231471,-4.7822100508,0.22380763,-10.5586449294,0.5639507465
161,1,20131207 17:00,0.0274007574,-4.8999013966,0.3518743936,-10.5690317303,0.7958838226
162,1,20131207 18:00,-0.0280957073,-5.1071715804,0.2809529587,-10.7735218728,0.9147636355
163,1,20131207 19:00,-0.0227908982,-5.355895801,0.1120681031,-11.0189100438,0.902546736
164,1,20131207 20:00,0.4154679483,-5.1386194703,0.908531123,-10.4781472226,0.9043322646
165,1,20131207 21:00,0.3869035914,-5.4249858622,0.9416958228,-10.4826914479,0.9035804776
166,1,20131207 22:00,0.9104474462,-5.8133196549,1.8014268852,-10.7086043673,0.8299031962
167,1,20131207 23:00,0.3538505499,-5.9638883402,1.29324164,-10.5404680279,0.2761958407
168,1,20131208 0:00,0.6603052927,-6.5027908182,1.1167033921,-9.8848012218,0.137111174
169,1,20131208 1:00,1.2189127812,-6.7180451958,1.7988357942,-10.5584683788,0.1665257002
170,1,20131208 2:00,2.8497660958,-5.9892320425,4.4203951818,-8.8805858655,0.4803119876
171,1,20131208 3:00,5.667586334,-5.1247307617,8.7493871494,-7.9000877164,0.296400706
172,1,20131208 4:00,5.2016282442,-4.4925783816,7.8645658696,-6.7641658772,0.1556244674
173,1,20131208 5:00,4.9351329156,-4.1513159337,7.9740759989,-6.5862086409,0.1567521827
174,1,20131208 6:00,3.390113986,-2.3029622766,5.6347751138,-4.2652533875,0.1055351897
175,1,20131208 7:00,4.2349695752,1.4541012951,6.4841212813,2.0897844099,0.03834226
176,1,20131208 8:00,3.5425722031,0.5991299496,5.9607348415,0.5222584944,0.0609905084
177,1,20131208 9:00,2.3486567816,-0.6560986818,4.8553509068,-1.3936707115,0.1100460466
178,1,20131208 10:00,1.1784479997,-0.9982687425,3.4060126221,-2.1725225118,0.1053472393
179,1,20131208 11:00,1.3885378753,-0.7645584225,2.592655699,-0.821087526,0.0813833294
180,1,20131208 12:00,1.2434368912,0.7075896904,1.8810969243,1.6385357037,0.0745230705
181,1,20131208 13:00,0.7353790791,1.3120598773,1.1638826968,3.1066829028,0.079879708
182,1,20131208 14:00,0.4206530009,1.0102785903,0.615817918,2.4630323795,0.0408796167
183,1,20131208 15:00,0.3389059676,1.2158529106,0.4081085647,2.2937418917,0.055163989
184,1,20131208 16:00,0.0997958951,0.9549142038,0.0939738744,2.2203634209,0.0318579083
185,1,20131208 17:00,0.7092200285,0.2242858247,0.8955057601,0.7054157798,0.0341133325
186,1,20131208 18:00,0.8244833455,1.2594183294,1.3448571829,1.8644489484,6.75452317005534E-05
187,1,20131208 19:00,0.9957433802,1.4477480048,1.361823541,2.555477697,0.0048632662
188,1,20131208 20:00,1.5467183848,0.5542031114,2.2949732347,1.3346217223,0
189,1,20131208 21:00,1.9587234327,1.2607797488,2.9366100489,2.0418284015,0.0202988442
190,1,20131208 22:00,2.2656835428,1.5253489072,3.479019375,2.4774769603,0.0736772846
191,1,20131208 23:00,2.0641771056,0.9167944622,3.1911054199,1.459422901,0.0382482843
192,1,20131209 0:00,2.00123189,0.4348520159,2.7988226561,0.5973703149,0.09585565
193,1,20131209 1:00,4.2749960746,-0.3616553522,6.0469930537,-0.510859876,0.1774269288
194,1,20131209 2:00,4.520380027,-0.0319055011,6.2287840422,-0.0856180827,0.224508969
195,1,20131209 3:00,5.2907520954,-0.0351114024,7.2654011957,-0.0975463238,0.6527581977
196,1,20131209 4:00,5.6488123525,-0.137700245,7.7888162609,-0.2078825534,0.425148006
197,1,20131209 5:00,5.553663473,-0.1743391173,7.7719648491,-0.3158331349,0.6110327803
198,1,20131209 6:00,5.8562202171,-0.1697592583,8.2458469764,-0.362353275,0.7393102047
199,1,20131209 7:00,6.1450054128,-0.0135860649,8.9142863133,-0.1130530371,0.8103561505
200,1,20131209 8:00,6.545632274,0.2639533931,9.8242625535,0.4010541519,0.8753876307
201,1,20131209 9:00,5.2243982715,-0.5059209121,8.6068757092,-0.6879942555,0.917582909
202,1,20131209 10:00,4.9331091579,-1.2139671202,8.4061907134,-1.8838004203,0.9366600611
203,1,20131209 11:00,4.8442200731,-1.9701018483,8.4843199866,-3.1601222121,0.9401371953
204,1,20131209 12:00,5.6091669861,-2.1468844073,9.2497826039,-3.4684672431,0.9578047028
205,1,20131209 13:00,6.5473015525,-1.5908895195,10.6336409714,-2.6358760182,0.9752842873
206,1,20131209 14:00,7.0948249294,-0.6895732597,11.6288955685,-0.9164200715,0.9721830635
207,1,20131209 15:00,5.9784948737,-0.7843763419,10.3093789554,-0.9295411367,0.9623155576
208,1,20131209 16:00,5.5311282121,-0.9011627475,9.6046835505,-1.1663167214,0.9575227661
209,1,20131209 17:00,6.1520998468,-0.0259516843,10.4799356693,0.0628885183,0.8994455037
210,1,20131209 18:00,5.9730697183,0.4462317831,9.9330307573,1.1072060218,0.7073583123
211,1,20131209 19:00,5.1951858962,0.3395210674,9.246208062,1.029076043,0.6722112444
212,1,20131209 20:00,5.327893544,0.3976852772,8.9714789838,0.9771881944,0.8909876719
213,1,20131209 21:00,5.0633128878,0.0798430596,7.6984314155,0.3348524141,0.9103467439
214,1,20131209 22:00,6.5685848545,1.1583998643,9.6092793901,1.6177347385,0.8863828393
215,1,20131209 23:00,7.3135004245,2.0061317733,10.5738950566,3.026460006,0.8361995848
216,1,20131210 0:00,7.0230459501,1.9136186206,10.084693464,2.8111552551,0.8552767475
217,1,20131210 1:00,6.7470079557,1.224786821,9.6732472135,1.8540989097,0.6182689454
218,1,20131210 2:00,6.604327961,0.9769250933,9.486462131,1.4912337131,0.5640447191
219,1,20131210 3:00,6.6888152086,0.5390963481,9.4635692518,0.8202210877,0.6311436773
220,1,20131210 4:00,6.0042960801,-0.514768297,8.680528725,-0.6617664533,0.6957052798
221,1,20131210 5:00,6.4758728601,-0.7391102987,9.2804262183,-1.0165679789,0.8106380746
222,1,20131210 6:00,6.5771713457,-0.9792828852,9.5868786238,-1.4122638361,0.7488017856
223,1,20131210 7:00,6.606483248,-1.0706479746,9.9105006887,-1.5481942907,0.8268959449
224,1,20131210 8:00,6.3181058569,-1.09778612,9.6529557978,-1.6345907661,0.8034019191
225,1,20131210 9:00,5.5094422013,-1.2420705929,8.8662732221,-1.8730450381,0.7352692182
226,1,20131210 10:00,4.4749044756,-1.4890277157,7.9375507368,-2.3804803368,0.4680011186
227,1,20131210 11:00,4.3947278019,-1.5482793331,7.8631488795,-2.4709086477,0.6084954373
228,1,20131210 12:00,4.2736006765,-1.4578188485,7.6441056491,-2.313091086,0.5515458986
229,1,20131210 13:00,4.4895604267,-1.6025556238,7.8048760961,-2.540025828,0.4914951413
230,1,20131210 14:00,4.4714560165,-1.5623007082,7.6321389168,-2.408127209,0.5677097911
231,1,20131210 15:00,5.04303811,-1.6088878578,8.5853151593,-2.4916438018,0.4111455578
232,1,20131210 16:00,4.9861385351,-1.7527200282,8.8912472721,-2.7358578389,0.457757716
233,1,20131210 17:00,4.6645697253,-1.4266099814,8.8392180012,-2.2698928484,0.558124225
234,1,20131210 18:00,4.9210488698,-0.9376710623,8.8142439512,-1.3270193137,0.6473075687
235,1,20131210 19:00,4.5201655011,-0.9385756672,8.18208831,-1.1761134701,0.6765341487
236,1,20131210 20:00,4.4822324512,-1.4234438644,7.9958235202,-2.0279827173,0.7345174175
237,1,20131210 21:00,6.0051581949,-1.1149736121,9.9573270325,-1.6178874475,0.7879898389
238,1,20131210 22:00,6.068954688,-0.2555990088,9.0967628921,-0.368018437,0.8575321749
239,1,20131210 23:00,6.0327458676,-0.2194148149,8.8792805398,-0.363410625,0.7487078077
240,1,20131211 0:00,5.5508237104,0.1808728292,8.0031076182,0.2978103999,0.6226858275
241,1,20131211 1:00,6.3894724697,1.0915527698,9.1775800019,1.6818722839,0.4340757365
242,1,20131211 2:00,6.5879926245,1.9292509524,9.3427269928,2.820360978,0.3495911959
243,1,20131211 3:00,6.2597779397,1.4521437602,8.7673301285,2.172715049,0.3222441413
244,1,20131211 4:00,6.3325819243,1.5968370827,9.0138607949,2.3463978736,0.1835353755
245,1,20131211 5:00,6.1965220186,2.0853674319,8.7463892996,2.9949322058,0.1863546647
246,1,20131211 6:00,5.3395833142,2.0842251162,7.5575213368,2.9402954093,0.1357015294
247,1,20131211 7:00,4.6000062243,1.9913167723,6.5123836081,2.8034813173,0.1320364584
248,1,20131211 8:00,4.0303050987,2.0092130516,5.9212811222,2.9354091917,0.1972558922
249,1,20131211 9:00,2.9382453291,1.7019301274,5.1769298436,3.0113676649,0.1655859354
250,1,20131211 10:00,1.6596004842,1.1566647649,4.2469666733,3.0793305093,0.1746076459
251,1,20131211 11:00,1.597538071,1.441482147,3.2594162238,3.1628404096,0.1310966978
252,1,20131211 12:00,1.9551926185,1.0211099681,2.6626026028,2.117634051,0.1532750633
253,1,20131211 13:00,2.1163161911,-0.2327719025,3.0742802601,0.7028519633,0.1902076818
254,1,20131211 14:00,2.2014530911,-0.4540003771,4.2959872499,0.0076764634,0.2805187408
255,1,20131211 15:00,1.9396770152,-1.0491468586,4.944677015,-1.24186263,0.2258246368
256,1,20131211 16:00,1.8183370408,-1.1039780124,5.0817442581,-2.206224298,0.2811765763
257,1,20131211 17:00,1.966729862,-0.9394845511,5.4938978433,-2.0614145772,0.2972464898
258,1,20131211 18:00,2.1465517257,-1.0990279777,5.817528834,-2.2666357152,0.4200732883
259,1,20131211 19:00,2.4532832675,-1.1599514819,6.21112123,-2.4167758551,0.3548538629
260,1,20131211 20:00,3.3706930411,-1.1637592009,6.5476022747,-1.7908958044,0.4761770443
261,1,20131211 21:00,4.0601427973,-0.9665193561,6.1145078607,-1.2791755642,0.4435673237
262,1,20131211 22:00,5.4983198708,-0.0088780246,7.8587837149,0.0063438586,0.4053190373
263,1,20131211 23:00,4.8347294535,-0.1444328214,6.7279789592,-0.1837744251,0.370829805
264,1,20131212 0:00,4.5375459752,-0.2202064298,6.2320620588,-0.3005994452,0.3596466376
265,1,20131212 1:00,4.1352052052,-0.0620168581,5.5751892101,-0.1452466119,0.3554177153
266,1,20131212 2:00,3.9617579524,-0.0094126093,5.3196384933,-0.0614228825,0.341603226
267,1,20131212 3:00,4.1379335889,-0.0543983117,5.5698348142,-0.1173053687,0.3531622943
268,1,20131212 4:00,4.39946866,0.055163641,5.9631395365,0.0197813554,0.254487354
269,1,20131212 5:00,4.5596637631,0.3823983475,6.2430284169,0.4502511324,0.3911286471
270,1,20131212 6:00,4.5534274574,0.8064974295,6.2829430051,1.0226100348,0.5115120636
271,1,20131212 7:00,4.8126239138,1.1681969887,6.7916106225,1.6338247283,0.4342636859
272,1,20131212 8:00,4.2700653163,1.6822674755,6.3676398141,2.4353891407,0.3058922953
273,1,20131212 9:00,3.4496013453,1.8480615563,5.4856247684,2.893363579,0.2606897795
274,1,20131212 10:00,2.2113048911,1.1859735969,4.9258470076,2.7012675325,0.2464993819
275,1,20131212 11:00,1.996542113,0.6842378994,4.9789042041,1.9119274139,0.1835353797
276,1,20131212 12:00,1.90611568,0.2960548219,4.9754968612,1.147472465,0.1772389763
277,1,20131212 13:00,1.9318404411,-0.1668625678,4.9608939631,0.2149334754,0.1485762581
278,1,20131212 14:00,1.8355674716,-0.6595285672,4.7793312633,-0.6761302314,0.1724461922
279,1,20131212 15:00,1.5693551713,-0.9780563636,4.5515260528,-1.5069456327,0.1492340915
280,1,20131212 16:00,1.5946901632,-1.032474552,4.8070767697,-1.878913432,0.1573160372
281,1,20131212 17:00,1.9369074395,-1.150380627,5.030987874,-1.9989734611,0.1537449451
282,1,20131212 18:00,2.1660916747,-1.2998492513,4.9370425629,-2.0579120208,0.156188323
283,1,20131212 19:00,2.1851903609,-1.3042027063,5.1341816873,-1.8972498728,0.2809886248
284,1,20131212 20:00,3.4328412737,-1.2545007609,4.9793909674,-1.5951351814,0.2653885826
285,1,20131212 21:00,4.2837072351,-0.9925678805,6.4508763333,-1.5148041074,0.2766657173
286,1,20131212 22:00,4.9626850202,-0.759295246,7.0603039476,-1.0952488784,0.2839018834
287,1,20131212 23:00,4.8231476797,-0.2992801597,6.8680324559,-0.466134326,0.2006390349
288,1,20131213 0:00,5.1525025755,0.3609938601,7.2535489659,0.5524113026,0.2038342207
289,1,20131213 1:00,4.940380267,0.5823052423,6.8857452619,0.8414062025,0.250070475
290,1,20131213 2:00,5.0788591251,1.4061424068,7.1229732827,2.0184321103,0.2077812178
291,1,20131213 3:00,4.7268618183,1.7074666514,6.6346981331,2.4553213948,0.2071233834
292,1,20131213 4:00,4.8222019745,1.5805551164,6.7480148188,2.2795000974,0.2076872463
293,1,20131213 5:00,4.6474721065,2.326432338,6.4550497291,3.2731568237,0.2752560801
294,1,20131213 6:00,4.4049528498,3.1361279315,6.1726792888,4.5740568274,0.1855088756
295,1,20131213 7:00,3.4515512878,3.1332270964,4.9589009689,4.5634009912,0.1779907865
